elstat_municipality_code,municipality_name,pop_total_2021,pop_total_2011,pop_men_2021,pop_men_2011,pop_women_2021,pop_women_2011
5701,ΧΙΟΥ,50483,51390,25010,25775,25473,25615
5703,ΟΙΝΟΥΣΣΩΝ,916,826,459,421,457,405
5702,ΗΡΩΙΚΗΣ ΝΗΣΟΥ ΨΑΡΩΝ,420,458,203,217,217,241
3101,ΔΕΛΦΩΝ,24160,26716,11941,13219,12219,13497
3102,ΔΩΡΙΔΟΣ,12050,13627,6331,7022,5719,6605
6601,ΜΥΚΟΝΟΥ,9802,10134,4973,5217,4829,4917
4501,ΑΘΗΝΑΙΩΝ,637798,664046,301329,315210,336469,348836
4502,ΒΥΡΩΝΟΣ,59134,61308,27739,28992,31395,32316
4503,ΓΑΛΑΤΣΙΟΥ,57917,59345,27545,28399,30372,30946
4504,ΔΑΦΝΗΣ - ΥΜΗΤΤΟΥ,33850,33628,15987,15829,17863,17799
4505,ΖΩΓΡΑΦΟΥ,69857,71026,32581,33097,37276,37929
4506,ΗΛΙΟΥΠΟΛΕΩΣ,76708,78153,36309,37098,40399,41055
4507,ΚΑΙΣΑΡΙΑΝΗΣ,26260,26458,12464,12486,13796,13972
4508,ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ - ΝΕΑΣ ΧΑΛΚΗΔΟΝΟΣ,34759,35556,16602,17043,18157,18513
1201,ΣΕΡΡΩΝ,73847,76817,35457,37125,38390,39692
1202,ΑΜΦΙΠΟΛΗΣ,7169,9182,3386,4401,3783,4781
1203,ΒΙΣΑΛΤΙΑΣ,16032,20030,8173,9947,7859,10083
1204,ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,11574,14664,5714,7275,5860,7389
1205,ΗΡΑΚΛΕΙΑΣ,15711,21145,7643,10356,8068,10789
1206,ΝΕΑΣ ΖΙΧΝΗΣ,8259,12397,4041,6017,4218,6380
1207,ΣΙΝΤΙΚΗΣ,18532,22195,9019,10722,9513,11473
5901,ΑΝΔΡΟΥ,8883,9221,4368,4590,4515,4631
5301,ΜΥΤΙΛΗΝΗΣ,58285,57872,28907,28297,29378,29575
5302,ΔΥΤΙΚΗΣ ΛΕΣΒΟΥ,24783,28564,12278,14300,12505,14264
5801,ΣΥΡΟΥ - ΕΡΜΟΥΠΟΛΗΣ,20791,21507,10020,10392,10771,11115
6701,ΑΜΟΡΓΟΥ,1965,1973,1004,1030,961,943
6702,ΝΑΞΟΥ ΚΑΙ ΜΙΚΡΩΝ ΚΥΚΛΑΔΩΝ,19812,18904,9918,9654,9894,9250
