elstat_municipality_code,municipality_name,pop_total_2021,pop_total_2011,pop_men_2021,pop_men_2011,pop_women_2021,pop_women_2011
4903,ΔΙΟΝΥΣΟΥ,41748,40193,20078,19492,21670,20701
4904,ΚΡΩΠΙΑΣ,29432,30307,14400,15277,15032,15030
4905,ΛΑΥΡΕΩΤΙΚΗΣ,25608,25102,12562,12474,13046,12628
4906,ΜΑΡΑΘΩΝΟΣ,31448,33423,16178,18661,15270,14762
4907,ΜΑΡΚΟΠΟΥΛΟΥ ΜΕΣΟΓΑΙΑΣ,21284,20040,10383,9845,10901,10195
4908,ΠΑΙΑΝΙΑΣ,27916,26668,13570,13192,14346,13476
4909,ΠΑΛΛΗΝΗΣ,60435,54415,29261,26694,31174,27721
4910,ΡΑΦΗΝΑΣ - ΠΙΚΕΡΜΙΟΥ,22230,20266,10658,9839,11572,10427
4911,ΣΑΡΩΝΙΚΟΥ,29703,29002,14470,14345,15233,14657
4912,ΣΠΑΤΩΝ - ΑΡΤΕΜΙΔΟΣ,34053,33821,16722,16730,17331,17091
4913,ΩΡΩΠΟΥ,33977,33769,17298,18509,16679,15260
5101,ΠΕΙΡΑΙΩΣ,163572,163688,77476,78200,86096,85488
5102,ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ,89386,91045,42743,43922,46643,47123
5103,ΚΟΡΥΔΑΛΛΟΥ,61247,63445,30173,31642,31074,31803
5104,ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ,103355,105430,49343,51200,54012,54230
5105,ΠΕΡΑΜΑΤΟΣ,25636,25389,12496,12448,13140,12941
1401,ΚΟΖΑΝΗΣ,67161,71388,33397,35914,33764,35474
1403,ΒΟΪΟΥ,15080,18386,7576,9144,7504,9242
1404,ΕΟΡΔΑΙΑΣ,42414,45592,20694,22479,21720,23113
1405,ΣΕΡΒΙΩΝ,9486,11382,4853,5722,4633,5660
1402,ΒΕΛΒΕΝΤΟΥ,3060,3448,1501,1686,1559,1762
2901,ΧΑΛΚΙΔΕΩΝ,108313,102223,53486,51701,54827,50522
2902,ΔΙΡΦΥΩΝ - ΜΕΣΣΑΠΙΩΝ,15435,18800,7943,9912,7492,8888
2903,ΕΡΕΤΡΙΑΣ,12676,13053,6344,6563,6332,6490
2904,ΙΣΤΙΑΙΑΣ - ΑΙΔΗΨΟΥ,18460,21083,9103,10396,9357,10687
2905,ΚΑΡΥΣΤΟΥ,11593,12180,5797,6091,5796,6089
2906,ΚΥΜΗΣ - ΑΛΙΒΕΡΙΟΥ,26359,28437,13059,14323,13300,14114
2907,ΜΑΝΤΟΥΔΙΟΥ - ΛΙΜΝΗΣ - ΑΓΙΑΣ ΑΝΝΑΣ,11986,12045,6067,6024,5919,6021
2908,ΣΚΥΡΟΥ,2913,2994,1522,1638,1391,1356
1101,ΚΑΤΕΡΙΝΗΣ,82971,85851,40057,41569,42914,44282
1102,ΔΙΟΥ - ΟΛΥΜΠΟΥ,23984,25668,12030,13322,11954,12346
1103,ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,12531,15179,6073,7461,6458,7718
5501,ΛΗΜΝΟΥ,16458,16992,8493,8924,7965,8068
5502,ΑΓΙΟΥ ΕΥΣΤΡΑΤΙΟΥ,257,270,138,130,119,140
9901,ΑΓΙΟ ΟΡΟΣ (ΑΥΤΟΔΙΟΙΚΗΤΟ),1779,1811,1779,1811,0,0
3801,ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,31944,34416,15987,17180,15957,17236
3803,ΑΚΤΙΟΥ - ΒΟΝΙΤΣΑΣ,14656,17370,7536,8972,7120,8398
3802,ΑΓΡΙΝΙΟΥ,88971,94181,43912,46582,45059,47599
3804,ΑΜΦΙΛΟΧΙΑΣ,15073,17056,7686,8503,7387,8553
3805,ΘΕΡΜΟΥ,5742,8242,2991,4164,2751,4078
3806,ΝΑΥΠΑΚΤΙΑΣ,25121,27800,12554,14023,12567,13777
3807,ΞΗΡΟΜΕΡΟΥ,10220,11737,5286,5999,4934,5738
0101,ΚΟΜΟΤΗΝΗΣ,65107,66919,31298,32354,33809,34565
0102,ΑΡΡΙΑΝΩΝ,14944,16577,7450,8183,7494,8394
0103,ΙΑΣΜΟΥ,12346,13810,6065,6731,6281,7079
0104,ΜΑΡΩΝΕΙΑΣ - ΣΑΠΩΝ,11983,14733,5839,7287,6144,7446
7401,ΧΑΝΙΩΝ,110646,108642,54472,54163,56174,54479
7402,ΑΠΟΚΟΡΩΝΟΥ,11771,12807,5976,6454,5795,6353
7403,ΓΑΥΔΟΥ,151,152,92,91,59,61
7404,ΚΑΝΤΑΝΟΥ - ΣΕΛΙΝΟΥ,4931,5431,2469,2771,2462,2660
7405,ΚΙΣΣΑΜΟΥ,10632,10790,5355,5438,5277,5352
7406,ΠΛΑΤΑΝΙΑ,15320,16874,7644,8548,7676,8326
7407,ΣΦΑΚΙΩΝ,1992,1889,1057,994,935,895
4101,ΝΑΥΠΛΙΕΩΝ,32586,33356,15918,16888,16668,16468
