"ΠΕΡΙΣΤΕΡΙΟΥ
139.981","132.123","68.563","63.853","71.418","68.270"
"ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ
26.550","26.759","12.650","12.682","13.900","14.077"
"ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ - 
62.529
ΚΑΜΑΤΕΡΟΥ","61.427","30.925","29.908","31.604","31.519"
"ΑΙΓΑΛΕΩ
69.946","64.828","34.008","31.139","35.938","33.689"
"ΙΛΙΟΥ
84.793","83.523","41.594","40.267","43.199","43.256"
"ΠΕΤΡΟΥΠΟΛΕΩΣ
58.979","60.166","28.582","28.916","30.397","31.250"
"ΧΑΪΔΑΡΙΟΥ
46.897","46.983","23.245","22.866","23.652","24.117"
"","","","","",""
"","","","","",""
