code,name
EL51,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ
EL52,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
EL53,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
EL54,ΗΠΕΙΡΟΥ
EL61,ΘΕΣΣΑΛΙΑΣ
EL64,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ
EL62,ΙΟΝΙΩΝ ΝΗΣΩΝ
EL63,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ
EL65,ΠΕΛΟΠΟΝΝΗΣΟΥ
EL30,ΑΤΤΙΚΗΣ
EL41,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ
EL42,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ
EL43,ΚΡΗΤΗΣ
